Universe,Model Arm,Seed,OOS Return (%),OOS Sharpe,OOS Max DD (%),Future 1-Yr Return (%),Future Sharpe,Future Max DD (%)
1. 🇮🇳 Indian Nifty 50 Equities,2. Real-PPO (60% Real),404,-0.8498283834679543,-0.11928173941654939,-6.510627912950937,-0.7111970950902102,-0.08533747059266801,-7.633315838261098
1. 🇮🇳 Indian Nifty 50 Equities,3. RAI v8.2 (0% Real),404,0.5687106919165741,0.14405491347204805,-4.9639197380352575,-1.194108712738129,-0.21338254526648393,-7.208938494308086
1. 🇮🇳 Indian Nifty 50 Equities,1. LSTM-DNN (60% Real),505,-0.4495472646380727,-0.044444711321193445,-6.515053626355198,-1.8455211153112439,-0.269066499954647,-8.766420156981503
1. 🇮🇳 Indian Nifty 50 Equities,2. Real-PPO (60% Real),505,-0.27727031004669556,0.0030165080592230147,-8.24088668287245,0.119768339059112,0.05941431684209199,-9.01335495492456
1. 🇮🇳 Indian Nifty 50 Equities,3. RAI v8.2 (0% Real),505,0.0797734781596171,0.050410304330840726,-7.061491403725443,-1.8372881053667522,-0.2277245871945912,-9.766224953736593
1. 🇮🇳 Indian Nifty 50 Equities,1. LSTM-DNN (60% Real),606,-0.4459539075651775,-0.043702000578515206,-6.518195612041702,-1.8428537722531502,-0.26804517365736547,-8.77398764814695
1. 🇮🇳 Indian Nifty 50 Equities,2. Real-PPO (60% Real),606,0.14965871395571373,0.060842627321043,-7.477783498611565,-0.6299029619240226,-0.0521251805424091,-8.86157454343214
1. 🇮🇳 Indian Nifty 50 Equities,3. RAI v8.2 (0% Real),606,-0.5501353602525572,-0.03775243498763447,-7.762474883587482,-1.7654871588655086,-0.2009049308119842,-10.232205348264012
1. 🇮🇳 Indian Nifty 50 Equities,1. LSTM-DNN (60% Real),707,-0.4468741519418451,-0.04367170764287728,-6.532639291290959,-1.8482207884362278,-0.26837085577024156,-8.793465681136949
1. 🇮🇳 Indian Nifty 50 Equities,2. Real-PPO (60% Real),707,-1.312490032963065,-0.18205280010528446,-7.106054594674347,-1.9907903101021973,-0.27896649522957195,-9.19902997235867
