Universe,Window,Model,Seed,Offset,Sharpe,Return (%),Max DD (%),Rebalances,Mean Cash Frac,Mean Top Weight
US_ETFs,Holdout,Axiom v0.9,101,-1.5,1.675776864044946,30.641406209187004,-8.591284844414112,34,0.405953310120263,0.21074904330167998
US_ETFs,Holdout,Axiom v0.9,202,-1.5,1.5054927332203951,32.23201589633182,-11.62239601670717,34,0.03582258775843695,0.23664043779067082
US_ETFs,Holdout,Axiom v0.9,303,-1.5,1.2973570980977207,29.673009117236116,-13.099572692961964,22,0.0557329737010592,0.2272672263175923
US_ETFs,Holdout,Axiom v0.9,404,-1.5,1.3865058702927355,34.0561191256801,-10.325311271714638,31,0.1518571803072211,0.31335231036200206
US_ETFs,Holdout,Axiom v0.9,505,-1.5,1.5647229107346372,22.840651811600555,-7.357539804024181,17,0.25546371898321735,0.2258849525710199
US_ETFs,Holdout,Axiom v0.9,606,-1.5,1.286409654158029,18.509577983055927,-7.573697617217869,29,0.11478973160572584,0.310464356959968
US_ETFs,Holdout,Axiom v0.9,707,-1.5,1.1717300899314333,12.204397444760184,-6.385243241329771,14,0.5920624093739765,0.13706332990310688
US_ETFs,Holdout,Axiom v0.9,808,-1.5,1.442252525343198,20.150080067647714,-5.769383177277055,28,0.5558712239546386,0.11742659156265924
US_ETFs,Holdout,Axiom v0.9,909,-1.5,1.557618206790433,28.059426025007483,-10.331329085873337,27,0.3153784184940979,0.171053749824123
US_ETFs,Holdout,RAI v6 Fast,-1,-1.5,1.1403300202735,39.77781607125068,-22.334685287691034,197,0.14082302409022177,0.7078218527931388
US_ETFs,Holdout,Axiom v0.9,42,-0.5,1.351859372095954,14.921642089136867,-6.072450692590935,17,0.6001745920653909,0.16515909365339546
US_ETFs,Holdout,Axiom v0.9,101,-0.5,1.5933878472727476,16.340846963427435,-5.162148540012704,15,0.6518446234559084,0.12577318891144137
US_ETFs,Holdout,Axiom v0.9,202,-0.5,1.4961422515772511,29.91105333385786,-10.977246311528488,34,0.09165234116248953,0.22261756707868782
US_ETFs,Holdout,Axiom v0.9,303,-0.5,1.293336706755316,26.861048160719236,-12.050372871467895,22,0.13738819888373227,0.20718749880668488
US_ETFs,Holdout,Axiom v0.9,404,-0.5,1.3872686859408978,26.49027599394156,-8.280407166497348,29,0.3262261613639589,0.24765975110595367
US_ETFs,Holdout,Axiom v0.9,505,-0.5,1.5679595995786286,15.642595073245324,-5.192250595938224,13,0.4802599102713186,0.15541624649802419
US_ETFs,Holdout,Axiom v0.9,606,-0.5,1.274204142467525,15.156779547956688,-6.31559476919982,25,0.2584362967023185,0.2588539911490561
US_ETFs,Holdout,Axiom v0.9,707,-0.5,1.1757389890859116,6.063396387696995,-3.1528332723043255,6,0.7940247273369975,0.0695637930876822
US_ETFs,Holdout,Axiom v0.9,808,-0.5,1.4237388912721234,9.8991742864031,-2.928332398831045,13,0.7713684221147666,0.05921834280035054
US_ETFs,Holdout,Axiom v0.9,909,-0.5,1.5733673754219137,17.972407750259233,-6.7943590285816295,17,0.5511999167121135,0.11351043109117788
US_ETFs,Holdout,RAI v6 Fast,-1,-0.5,1.1408146140985267,31.198318188961792,-18.134406487143075,209,0.3170189391465434,0.5468563205048911
US_ETFs,Holdout,Axiom v0.9,42,0.0,1.3430966927574637,10.533431439848616,-4.44654104124541,11,0.7115069798281722,0.12040482056369628
US_ETFs,Holdout,Axiom v0.9,101,0.0,1.6960958375022714,11.975558054195744,-3.5456951622335926,14,0.7548289478895673,0.08905880040682954
US_ETFs,Holdout,Axiom v0.9,202,0.0,1.5081093505916767,28.45169588313119,-10.369466669797772,34,0.14248399689342925,0.20999349686565413
US_ETFs,Holdout,Axiom v0.9,303,0.0,1.289819930992157,24.3697267367752,-11.13790639287675,21,0.20739465156924455,0.18977410982900936
US_ETFs,Holdout,Axiom v0.9,404,0.0,1.379374732441206,21.53753607156417,-6.885034731528748,23,0.442470379199247,0.20361592345981425
US_ETFs,Holdout,Axiom v0.9,505,0.0,1.5573847907490472,11.67387051986919,-3.9832271937069086,9,0.6024008642481143,0.11850571401205984
US_ETFs,Holdout,Axiom v0.9,606,0.0,1.2817864632840474,13.008146119001385,-5.436869518039645,22,0.3629903605186232,0.2218728796838452
US_ETFs,Holdout,Axiom v0.9,707,0.0,1.1839812689237164,3.979633515967218,-2.0550090641436993,5,0.8633905657791103,0.045664951435694684
US_ETFs,Holdout,Axiom v0.9,808,0.0,1.3942140504936231,6.475537193080649,-1.9087870518694892,6,0.8461662316373362,0.04030411227558344
